file,hunks,already,portable,partial,manual,noise,status,added,removed
drivers/scsi/sd.h,1,0,1,0,0,0,FULLY_PORTABLE,3,0
drivers/soc/mediatek/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,23,1
drivers/spmi/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,9,0
drivers/staging/greybus/tools/.gitignore,1,0,1,0,0,0,FULLY_PORTABLE,0,1
drivers/staging/greybus/tools/Android.mk,1,0,1,0,0,0,FULLY_PORTABLE,0,10
drivers/staging/greybus/tools/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,0,32
drivers/staging/greybus/tools/lbtest,1,0,1,0,0,0,FULLY_PORTABLE,0,169
drivers/tee/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,3,0
drivers/tty/hvc/hvc_console.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/tty/tty_io.c,1,0,1,0,0,0,FULLY_PORTABLE,5,0
drivers/usb/common/common.c,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/usb/core/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,2,0
drivers/usb/core/usb.h,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/usb/gadget/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/usb/gadget/function/f_mass_storage.h,1,0,1,0,0,0,FULLY_PORTABLE,11,1
drivers/usb/gadget/function/storage_common.c,1,0,1,0,0,0,FULLY_PORTABLE,23,0
drivers/usb/gadget/function/storage_common.h,1,0,1,0,0,0,FULLY_PORTABLE,4,0
drivers/usb/gadget/legacy/dbgp.c,1,0,1,0,0,0,FULLY_PORTABLE,0,1
drivers/usb/gadget/usbstring.c,1,0,1,0,0,0,FULLY_PORTABLE,24,0
drivers/usb/storage/onetouch.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/usb/usbip/stub_main.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/video/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/video/backlight/backlight.c,1,0,1,0,0,0,FULLY_PORTABLE,3,1
drivers/virtio/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,11,0
drivers/watchdog/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,9,0
fs/ext4/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,3,0
fs/fuse/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,11,0
fs/pnode.c,1,0,1,0,0,0,FULLY_PORTABLE,16,0
fs/proc/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,18,0
include/drm/drm_mode_object.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
include/linux/alarmtimer.h,1,0,1,0,0,0,FULLY_PORTABLE,3,0
include/linux/cgroup_subsys.h,1,0,1,0,0,0,FULLY_PORTABLE,4,0
include/linux/console.h,1,0,1,0,0,0,FULLY_PORTABLE,0,2
include/linux/inetdevice.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
include/linux/kconfig.h,1,0,1,0,0,0,FULLY_PORTABLE,2,0
include/linux/linkage.h,1,0,1,0,0,0,FULLY_PORTABLE,2,4
include/linux/mailbox_controller.h,1,0,1,0,0,0,FULLY_PORTABLE,0,1
include/linux/mm_types_task.h,1,0,1,0,0,0,FULLY_PORTABLE,1,0
include/linux/mmc/mmc.h,1,0,1,0,0,0,FULLY_PORTABLE,11,0
include/linux/mmc/pm.h,1,0,1,0,0,0,FULLY_PORTABLE,1,0
include/linux/oom.h,1,0,1,0,0,0,FULLY_PORTABLE,7,0
include/linux/platform_device.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
include/linux/sched/clock.h,1,0,1,0,0,0,FULLY_PORTABLE,6,0
include/linux/sched/rt.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
include/linux/seq_buf.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
include/linux/serdev.h,1,0,1,0,0,0,FULLY_PORTABLE,13,1
include/linux/suspend.h,1,0,1,0,0,0,FULLY_PORTABLE,1,0
include/linux/task_io_accounting.h,1,0,1,0,0,0,FULLY_PORTABLE,2,0
include/linux/usb/otg.h,1,0,1,0,0,0,FULLY_PORTABLE,1,0
include/linux/vm_event_item.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
include/net/dst.h,1,0,1,0,0,0,FULLY_PORTABLE,3,2
include/net/dst_ops.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
include/net/if_inet6.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
include/sound/jack.h,1,0,1,0,0,0,FULLY_PORTABLE,12,10
include/trace/events/lock.h,1,0,1,0,0,0,FULLY_PORTABLE,35,0
include/trace/events/power.h,1,0,1,0,0,0,FULLY_PORTABLE,52,0
include/uapi/linux/const.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
include/uapi/linux/if_arp.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
include/uapi/linux/input-event-codes.h,1,0,1,0,0,0,FULLY_PORTABLE,5,1
include/uapi/linux/ip.h,1,0,1,0,0,0,FULLY_PORTABLE,1,0
include/uapi/linux/ipv6.h,1,0,1,0,0,0,FULLY_PORTABLE,1,0
include/uapi/linux/pcitest.h,1,0,1,0,0,0,FULLY_PORTABLE,2,1
